date,serial_number,model,user_capacity,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2016-03-26,Z304HC0R,ST4000DM000,4000787030016,0,115,93588920,95,0,100,5,100,0,80,115637810,97,3062,100,0,100,5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,97.0,6767.0,22.0,22.0,100,0,100,0,200,0,100.0,2920.0,100.0,13945601720.0,100.0,1281812846.0
2016-03-26,Z302DK2R,ST4000DM000,4000787030016,0,116,100746680,92,0,100,12,100,0,84,317326476,91,8247,100,0,100,12,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,88.0,25291.0,21.0,21.0,100,0,100,0,200,0,100.0,8109.0,100.0,28978684239.0,100.0,8628909401.0
2016-03-26,S300ZA23,ST4000DM000,4000787030016,0,117,153754608,92,0,100,9,100,0,83,229241364,93,6445,100,0,100,9,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,100.0,0.0,85.0,30245.0,33.0,33.0,100,0,100,0,200,0,100.0,6180.0,100.0,23885715408.0,100.0,9859020429.0
2016-03-26,Z305NZMD,ST4000DM000,4000787030016,0,113,50605344,97,0,100,3,100,0,63,2214737,100,775,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,100.0,0.0,84.0,33326.0,35.0,35.0,100,0,100,0,200,0,100.0,550.0,100.0,747511440.0,100.0,268886750.0
2016-03-26,Z300WG7Z,ST4000DM000,4000787030016,0,117,160269528,91,0,100,9,100,0,87,484056605,78,19988,100,0,100,9,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,100.0,1.0,91.0,18626.0,32.0,32.0,100,0,100,0,200,0,100.0,19910.0,100.0,25105902300.0,100.0,210809771833.0
2016-03-26,Z302SW95,ST4000DM000,4000787030016,0,111,40624880,99,0,100,1,100,0,82,197006297,95,5195,100,0,100,1,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,100.0,0.0,93.0,15239.0,33.0,33.0,100,0,100,0,200,0,100.0,5099.0,100.0,21163086680.0,100.0,2957695457.0
2016-03-26,S301138F,ST4000DM000,4000787030016,0,113,51837936,97,0,100,3,100,0,84,293592900,91,8240,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,88.0,25377.0,21.0,21.0,100,0,100,0,200,0,100.0,8101.0,100.0,26922864120.0,100.0,10478451115.0
2016-03-26,Z305NZM9,ST4000DM000,4000787030016,0,116,109738712,97,0,100,3,100,0,64,3091510,100,269,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,99.0,2878.0,27.0,27.0,100,0,100,0,200,0,100.0,227.0,100.0,931630232.0,100.0,269769079.0
2016-03-26,Z305AJF7,ST4000DM000,4000787030016,0,111,34079688,97,0,100,3,100,0,78,79038126,99,1739,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,98.0,5488.0,21.0,21.0,100,0,100,0,200,0,100.0,1665.0,100.0,11401174776.0,100.0,905829905.0
2016-03-26,S300Z6KZ,ST4000DM000,4000787030016,0,114,79059640,97,0,100,3,100,0,84,330655606,92,7567,100,0,100,3,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,85.0,31624.0,25.0,25.0,100,0,100,0,200,0,100.0,7438.0,100.0,27342518152.0,100.0,16489863696.0
